,Condition,Concentration,Time,splist,sp1OD,sp2OD,sp3OD,sp4OD,sp5OD,sp6OD,sp7OD,sp8OD,sp9OD,sp10OD,sp11OD,sp12OD,sp13OD,sp14OD,Antibiotic
90,SEHE90_2,0.375,48,"[1, 3, 4]",0.12316216511755058,0,0.04185390924002187,0.04586856205576818,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
91,SEHE90_3,0.375,48,"[1, 3, 4, 6]",0.06971665062560153,0,0.047486823869104904,0.03464428296438883,0,0.16566877767083735,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
92,SEHE90_3,0.375,48,"[1, 3, 4, 6]",0.07912017048086722,0,0.04657111090521634,0.03726285555452608,0,0.15883702399703511,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
93,SEHE90_3,0.375,48,"[1, 3, 4, 6]",0.07159296512626696,0,0.047658117161999664,0.032741814121285004,0,0.15577486686136405,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
94,SEHE90_3,0.375,48,"[1, 3, 4, 6]",0.07541916597624966,0,0.042068378900856115,0.03233773359108902,0,0.1395614471140569,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Metronidazole
95,SEHE90_1,6.0,48,[1],0.010303999999999989,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
96,SEHE90_1,6.0,48,[1],0.010500802139037431,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
97,SEHE90_1,6.0,48,[1],0.011799999999999993,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
98,SEHE90_2,6.0,48,"[1, 3, 4]",0.003703874345549739,0,0.09111197207678884,0.0007007329842931937,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
99,SEHE90_2,6.0,48,"[1, 3, 4]",0.0038780487804878036,0,0.0908842276422764,0.0006204878048780486,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
100,SEHE90_2,6.0,48,"[1, 3, 4]",0.0032858389527965094,0,0.08975723919079731,0.0005383577945259817,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
101,SEHE90_2,6.0,48,"[1, 3, 4]",0.0036788467985249752,0,0.08863526651022462,0.0006858866912504191,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
102,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.005119329816940739,0,0.09113633260937015,0.0009656220912193608,0,0.0014560968042196711,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
103,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.005711098638978532,0,0.09261049529956503,0.0009211449417707309,0,0.0016722323558299424,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
104,SEHE90_3,6.0,48,"[1, 3, 4, 6]",0.005578058847024362,0,0.09269817600852082,0.001010517907069631,0,0.0018189322327253356,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
106,SEHE90_1,3.0,48,[1],0.005599999999999994,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
107,SEHE90_1,3.0,48,[1],0.0030999999999999986,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
108,SEHE90_1,3.0,48,[1],0.011748953974895393,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
109,SEHE90_1,3.0,48,[1],0.011738413361169096,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
110,SEHE90_2,3.0,48,"[1, 3, 4]",0.003924032119300257,0,0.08876616002294233,0.0006696300544880984,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
111,SEHE90_2,3.0,48,"[1, 3, 4]",0.0021569564579973608,0,0.06528520744758831,0.00033795631139129154,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
112,SEHE90_2,3.0,48,"[1, 3, 4]",0.0037725914759490203,0,0.0902699465533781,0.0005056050431684254,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
113,SEHE90_2,3.0,48,"[1, 3, 4]",0.003850919754732072,0,0.09313761663556386,0.000559424153559051,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
114,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.00552809459035262,0,0.09604520246939414,0.0007943915454640576,0,0.001567018938997593,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
115,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.007157251404030391,0,0.09477865873802442,0.0009134456557647834,0,0.002035018169805087,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
116,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.007516120481927711,0,0.09380768674698796,0.0007628674698795181,0,0.0015882650602409639,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
117,SEHE90_3,3.0,48,"[1, 3, 4, 6]",0.006169259962049336,0,0.09251621832793838,0.0008845630092644268,0,0.0019959370465453736,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
118,SEHE90_1,1.5,48,[1],0.011067924528301874,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
119,SEHE90_1,1.5,48,[1],0.011802816901408445,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,Vancomycin
